ID,ZipCode,State,County,Region,RegionID,RegionName,Pop,Modified,Lat,Lon
18348,43836,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,-99,NULL,40.209763,-81.719504
18349,43837,OH,OH_Tuscarawas,OH_Tuscarawas,192,OH_Tuscarawas,1984,NULL,40.300122,-81.482359
18350,43840,OH,OH_Tuscarawas,OH_Tuscarawas,192,OH_Tuscarawas,1208,NULL,40.404265,-81.604572
18351,43842,OH,OH_Muskingum,OH_Muskingum,2515,OH_Muskingum,-99,NULL,40.140729,-82.01085
18352,43843,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,971,NULL,40.339589,-82.186086
18353,43844,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,4102,NULL,40.331684,-82.065958
18354,43845,OH,OH_Coshocton,OH_Coshocton,1131,OH_Coshocton,4490,NULL,40.25832,-81.729606
18355,43901,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,2430,NULL,40.218598,-80.86097
18356,43902,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,278,NULL,39.890997,-80.951072
18357,43903,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,2142,NULL,40.470484,-80.935516
18358,43905,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.069537,-80.740241
18359,43906,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,9521,NULL,40.010289,-80.799529
18360,43907,OH,OH_Harrison,OH_Harrison,1702,OH_Harrison,5698,NULL,40.255835,-81.023428
18361,43908,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,1714,NULL,40.487206,-80.853452
18362,43909,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.066757,-80.83139
18363,43910,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,3334,NULL,40.372204,-80.825538
18364,43912,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,7053,NULL,40.087412,-80.795303
18365,43913,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,1302,NULL,40.272904,-80.64766
18366,43914,OH,OH_Monroe,OH_Monroe,2447,OH_Monroe,-99,NULL,39.76723,-80.944974
18367,43915,OH,OH_Monroe,OH_Monroe,2447,OH_Monroe,2121,NULL,39.772001,-80.924013
18368,43916,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.069537,-80.740241
18369,43917,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,4126,NULL,40.226355,-80.802097
18370,43920,OH,OH_Columbiana,OH_Columbiana,1105,OH_Columbiana,24917,NULL,40.677398,-80.579179
18371,43925,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,-99,NULL,40.450562,-80.86056
18372,43926,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,-99,NULL,40.463299,-80.599912
18373,43927,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.077735,-80.91112
18374,43928,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.077735,-80.91112
18375,43930,OH,OH_Columbiana,OH_Columbiana,1105,OH_Columbiana,1085,NULL,40.614833,-80.761461
18376,43931,OH,OH_Monroe,OH_Monroe,2447,OH_Monroe,-99,NULL,39.66342,-80.86984
18377,43932,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,814,NULL,40.523568,-80.779129
18378,43933,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,1977,NULL,39.942494,-80.901596
18379,43934,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.097363,-80.723308
18380,43935,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,8952,NULL,40.125535,-80.752214
18381,43937,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.069537,-80.740241
18382,43938,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,6057,NULL,40.310292,-80.644911
18383,43939,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,-99,NULL,40.175514,-80.798825
